# SAXS profile: number of points = 505, q_min = 0.01125, q_max = 0.31771, delta_q = 0.000608055555555556
# offset = 0.00000000000000, scaling c = 2.00922416143178e-05, Chi = 2.53408885002136
#  q       exp_intensity   model_intensity
0.16449    7.91662000      7.77681072     
0.16510    7.69568000      7.71538926     
0.16571    7.75874000      7.65466009     
0.16632    7.60232000      7.59503812     
0.16693    7.63593000      7.53495170     
0.16753    7.58510000      7.47648285     
0.16814    7.54301000      7.41804877     
0.16875    7.49873000      7.35949836     
0.16936    7.35589000      7.30133735     
0.16997    7.47154000      7.24415145     
0.17057    7.29795000      7.18785961     
0.17118    7.29230000      7.13089742     
0.17179    7.06499000      7.07517285     
0.17240    7.12406000      7.01924299     
0.17301    6.98761000      6.96358097     
0.17361    6.95028000      6.91023995     
0.17422    6.94719000      6.85561607     
0.17483    6.70725000      6.80147691     
0.17544    6.78359000      6.74847516     
0.17605    6.57342000      6.69509969     
0.17666    6.57105000      6.64249385     
0.17726    6.61727000      6.59168937     
0.17787    6.42567000      6.53985821     
0.17848    6.36786000      6.48869053     
0.17909    6.58921000      6.43840202     
0.17969    6.43457000      6.38903002     
0.18030    6.44380000      6.33929151     
0.18091    6.41343000      6.29057955     
0.18152    6.37594000      6.24184569     
0.18213    6.24523000      6.19340246     
0.18274    6.03834000      6.14622285     
0.18334    6.14566000      6.09973343     
0.18395    6.01418000      6.05334186     
0.18456    5.97218000      6.00719481     
0.18517    5.88562000      5.96133527     
0.18578    5.89112000      5.91654230     
0.18638    5.93436000      5.87250914     
0.18699    5.69637000      5.82805121     
0.18760    5.79755000      5.78480746     
0.18821    5.65687000      5.74140026     
0.18882    5.57567000      5.69858798     
0.18942    5.62440000      5.65735823     
0.19003    5.66884000      5.61519497     
0.19064    5.60084000      5.57441113     
0.19125    5.57641000      5.53340612     
0.19186    5.53268000      5.49273629     
0.19246    5.52059000      5.45381136     
0.19307    5.40808000      5.41406089     
0.19368    5.40933000      5.37484992     
0.19429    5.26087000      5.33640086     
0.19490    5.30166000      5.29791041     
0.19551    5.12842000      5.25996846     
0.19611    5.14933000      5.22327595     
0.19672    4.94100000      5.18610462     
0.19733    4.97728000      5.14963444     
0.19794    5.05528000      5.11303118     
0.19854    5.05666000      5.07762404     
0.19915    4.95994000      5.04218757     
0.19976    4.98158000      5.00675478     
0.20037    4.89760000      4.97205386     
0.20098    4.76067000      4.93721706     
0.20158    4.76486000      4.90344148     
0.20219    4.70182000      4.86964809     
0.20280    4.67295000      4.83587943     
0.20341    4.68562000      4.80242327     
0.20402    4.50958000      4.76947774     
0.20463    4.45038000      4.73666662     
0.20523    4.40207000      4.70487952     
0.20584    4.45552000      4.67247332     
0.20645    4.49681000      4.64042997     
0.20706    4.34710000      4.60887726     
0.20767    4.38286000      4.57735756     
0.20827    4.22445000      4.54690558     
0.20888    4.30739000      4.51591515     
0.20949    4.35895000      4.48514576     
0.21010    4.21868000      4.45481369     
0.21071    4.22871000      4.42457478     
0.21131    4.21718000      4.39530470     
0.21192    4.17406000      4.36540734     
0.21253    4.02412000      4.33584187     
0.21314    4.04109000      4.30670622     
0.21375    4.04026000      4.27759444     
0.21435    4.02982000      4.24949062     
0.21496    3.78282000      4.22080937     
0.21557    3.90134000      4.19267921     
0.21618    3.84920000      4.16440663     
0.21679    3.98259000      4.13641402     
0.21739    3.98132000      4.10940467     
0.21800    3.87935000      4.08181125     
0.21861    3.93177000      4.05480593     
0.21922    3.75994000      4.02768193     
0.21983    3.78985000      4.00081376     
0.22043    3.68766000      3.97493391     
0.22104    3.76163000      3.94850674     
0.22165    3.71638000      3.92270837     
0.22226    3.70642000      3.89680304     
0.22287    3.79235000      3.87133625     
0.22347    3.70440000      3.84634681     
0.22408    3.64620000      3.82109109     
0.22469    3.60650000      3.79650318     
0.22530    3.68761000      3.77183647     
0.22591    3.81423000      3.74756707     
0.22651    3.59237000      3.72386466     
0.22712    3.62981000      3.70014459     
0.22773    3.59260000      3.67652193     
0.22834    3.57175000      3.65334169     
0.22895    3.50814000      3.63011030     
0.22956    3.50841000      3.60733017     
0.23016    3.49612000      3.58528729     
0.23077    3.38861000      3.56294717     
0.23138    3.55486000      3.54108572     
0.23199    3.52539000      3.51916672     
0.23259    3.57506000      3.49825038     
0.23320    3.51905000      3.47692688     
0.23381    3.49516000      3.45612033     
0.23442    3.44755000      3.43535225     
0.23503    3.40159000      3.41472084     
0.23564    3.42672000      3.39477184     
0.23624    3.26166000      3.37510416     
0.23685    3.31052000      3.35554804     
0.23746    3.34584000      3.33612860     
0.23807    3.22254000      3.31705955     
0.23867    3.39237000      3.29843238     
0.23928    3.21293000      3.27988377     
0.23989    3.27262000      3.26136613     
0.24050    3.17145000      3.24341471     
0.24111    3.11817000      3.22541810     
0.24172    3.18750000      3.20772668     
0.24232    3.12689000      3.19069700     
0.24293    3.14840000      3.17335353     
0.24354    3.17232000      3.15654473     
0.24415    3.12459000      3.13966587     
0.24476    3.19655000      3.12319822     
0.24536    3.08218000      3.10704004     
0.24597    3.12792000      3.09094731     
0.24658    3.07844000      3.07497732     
0.24719    3.24742000      3.05930288     
0.24779    3.22017000      3.04392196     
0.24840    3.16654000      3.02863192     
0.24901    3.10404000      3.01325373     
0.24962    2.97693000      2.99835236     
0.25023    3.07159000      2.98334761     
0.25083    2.93315000      2.96888779     
0.25144    2.99026000      2.95424168     
0.25205    2.89712000      2.93987437     
0.25266    2.91077000      2.92547758     
0.25327    2.96433000      2.91136269     
0.25388    2.95527000      2.89720949     
0.25448    2.94703000      2.88341143     
0.25509    2.89710000      2.86961376     
0.25570    2.96684000      2.85580942     
0.25631    2.91083000      2.84224101     
0.25692    2.93036000      2.82856527     
0.25752    2.87566000      2.81544790     
0.25813    2.76617000      2.80198624     
0.25874    2.79828000      2.78876794     
0.25935    2.82765000      2.77547283     
0.25995    2.84174000      2.76262787     
0.26056    2.80187000      2.74944525     
0.26117    2.86105000      2.73648299     
0.26178    2.79588000      2.72349193     
0.26239    2.74122000      2.71065587     
0.26299    2.74273000      2.69786410     
0.26360    2.75204000      2.68518814     
0.26421    2.72173000      2.67237526     
0.26482    2.71693000      2.65976606     
0.26543    2.56211000      2.64705127     
0.26604    2.71672000      2.63452576     
0.26664    2.61794000      2.62230395     
0.26725    2.64554000      2.60975906     
0.26786    2.76167000      2.59742885     
0.26847    2.77615000      2.58498224     
0.26908    2.65932000      2.57272078     
0.26968    2.67379000      2.56062032     
0.27029    2.75600000      2.54850317     
0.27090    2.67738000      2.53626718     
0.27151    2.60681000      2.52433886     
0.27211    2.64451000      2.51250014     
0.27272    2.52788000      2.50068283     
0.27333    2.55485000      2.48874770     
0.27394    2.53303000      2.47698983     
0.27455    2.52038000      2.46530874     
0.27515    2.56469000      2.45401266     
0.27576    2.51846000      2.44244303     
0.27637    2.55881000      2.43116695     
0.27698    2.50866000      2.41984116     
0.27759    2.55636000      2.40882872     
0.27819    2.47924000      2.39792192     
0.27880    2.49691000      2.38711248     
0.27941    2.40721000      2.37648265     
0.28002    2.41574000      2.36580689     
0.28063    2.35884000      2.35547568     
0.28123    2.31205000      2.34529823     
0.28184    2.27241000      2.33528956     
0.28245    2.35742000      2.32532366     
0.28306    2.36114000      2.31559193     
0.28367    2.37872000      2.30602904     
0.28427    2.37957000      2.29690747     
0.28488    2.35864000      2.28768238     
0.28549    2.32439000      2.27885109     
0.28610    2.30666000      2.27014385     
0.28671    2.31127000      2.26161453     
0.28731    2.28678000      2.25356058     
0.28792    2.19354000      2.24543588     
0.28853    2.21504000      2.23777671     
0.28914    2.18468000      2.23013654     
0.28974    2.28596000      2.22306975     
0.29035    2.36704000      2.21600869     
0.29096    2.36626000      2.20926045     
0.29157    2.31771000      2.20293875     
0.29218    2.30971000      2.19665073     
0.29279    2.30518000      2.19079149     
0.29339    2.17394000      2.18519388     
0.29400    2.30664000      2.17978148     
0.29461    2.21877000      2.17477161     
0.29522    2.28717000      2.17003321     
0.29583    2.26723000      2.16544508     
0.29643    2.23722000      2.16139341     
0.29704    2.30043000      2.15744057     
0.29765    2.27259000      2.15383496     
0.29826    2.25197000      2.15055440     
0.29886    2.27121000      2.14748872     
0.29947    2.21901000      2.14482714     
0.30008    2.26095000      2.14221626     
0.30069    2.27879000      2.14014578     
0.30130    2.32967000      2.13829629     
0.30190    2.18080000      2.13659206     
0.30251    2.24839000      2.13535768     
0.30312    2.27229000      2.13416899     
0.30373    2.28685000      2.13343010     
0.30434    2.25032000      2.13292259     
0.30494    2.31700000      2.13249468     
0.30555    2.27017000      2.13252012     
0.30616    2.26479000      2.13258638     
0.30677    2.20178000      2.13307848     
0.30738    2.24270000      2.13376072     
0.30798    2.20508000      2.13443877     
0.30859    2.28239000      2.13560123     
0.30920    2.13413000      2.13675892     
0.30981    2.19187000      2.13821178     
0.31041    2.21023000      2.13976064     
0.31102    2.20902000      2.14155601     
0.31163    2.16352000      2.14355537     
0.31224    2.26521000      2.14554787     
0.31285    2.26695000      2.14780132     
0.31345    2.19150000      2.15005444     
0.31406    2.26368000      2.15251430     
0.31467    2.16857000      2.15511360     
0.31528    2.28138000      2.15767670     
0.31589    2.20144000      2.16042833     
0.31650    2.24491000      2.16327649     
0.31710    2.29168000      2.16599473     
0.31771    2.27646000      2.16886717     
